scraped_at,date_text,time,away,away_score,home,home_score,game_code,venue,game_url
2025-12-28T14:49:32,Feb 01 (Sun),3:00 PM,Northumberland Nighthawks,,Ajax-Pickering Raiders,,U14AA-091,Ajax Community Centre (Pad 4),https://lakeshorehockeyleague.net/Groups/1313/Games/2224646/
2025-12-28T14:49:33,Feb 01 (Sun),4:30 PM,Kingston Canadians,,Oshawa Generals,,U14AA-122,Delpark Homes Centre (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224699/
2025-12-28T14:49:34,Feb 01 (Sun),5:00 PM,Whitby Wildcats,,Belleville Bulls,,U14AA-069,Quinte Sports & Wellness Centre (Wally Dever Arena),https://lakeshorehockeyleague.net/Groups/1313/Games/2224876/
2025-12-28T14:49:34,Feb 01 (Sun),7:00 PM,Quinte West Hawks,,Clarington Toros,,U14AA-099,Garnet B Rickard Recreation Complex (Toyota),https://lakeshorehockeyleague.net/Groups/1313/Games/2224667/
2025-12-28T14:49:35,Feb 01 (Sun),7:30 PM,North Durham Warriors,,Peterborough Petes,,U14AA-097,Healthy Planet Arena (South Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224901/
